emp_id department salary promotion_last_5_years work_accident left tenure number_project avg_month_hours job_sat last_evaluation
145 product_mng low No No Yes 5 4 267 84 99
146 product_mng low No No Yes 3 2 151 41 46
147 product_mng low No No Yes 5 4 239 76 92
148 IT low No No Yes 4 6 306 11 87
149 marketing low No Yes Yes 5 4 263 84 88
150 marketing low No No Yes 3 2 147 39 50
151 marketing low No No Yes 4 6 278 11 91
152 marketing low No No Yes 3 2 154 45 56
153 marketing low No No Yes 3 2 143 37 52
154 marketing low No No Yes 3 2 155 40 52
155 sales low No No Yes 3 2 160 39 48
156 accounting low No No Yes 4 6 304 11 80
157 support low No No Yes 5 5 240 83 100
158 technical low No No Yes 4 6 305 11 92
159 management low No No Yes 3 2 136 39 50
160 marketing low No No Yes 3 2 132 45 45
161 marketing low No No Yes 4 7 301 10 95
162 marketing low No No Yes 6 5 243 90 98
163 sales low No No Yes 3 2 147 45 51
164 sales low No No Yes 5 5 239 79 89
165 sales low No No Yes 5 5 260 90 99
166 sales low No No Yes 4 7 296 11 84
167 sales low No No Yes 3 2 129 43 55
168 sales low No No Yes 5 5 132 31 54
169 sales low No No Yes 5 2 135 32 50
170 sales low No No Yes 3 2 158 45 57
171 sales low No No Yes 5 4 259 81 99
172 sales low Yes No Yes 3 2 160 41 46
173 sales low No No Yes 4 7 278 11 78
174 sales low No No Yes 4 6 284 10 88
175 sales low No No Yes 4 2 274 70 53
176 sales low No No Yes 2 4 164 54 74
177 sales low No No Yes 3 2 148 41 48
178 sales medium No No Yes 3 2 140 38 50
179 sales medium No No Yes 3 2 127 37 51
180 sales medium No No Yes 5 6 308 11 85
181 sales medium No No Yes 3 2 146 40 47
182 accounting medium No No Yes 4 6 261 10 84
183 accounting medium No No Yes 5 5 257 89 99
184 accounting medium No No Yes 4 6 285 11 80
185 hr medium No No Yes 3 2 141 36 55
186 hr medium No No Yes 3 2 127 40 46
187 hr medium No No Yes 4 6 297 9 85
188 hr medium No No Yes 3 2 143 40 46
189 technical medium No No Yes 3 2 152 37 55
190 technical high No No Yes 3 2 156 44 51
191 technical low No No Yes 5 7 283 9 80
192 technical medium No Yes Yes 6 4 226 92 87
193 technical medium No No Yes 5 4 232 74 91
194 technical medium No No Yes 4 6 249 9 82
195 technical medium No No Yes 5 4 275 89 95
196 technical low No No Yes 4 6 304 9 80
197 technical low No No Yes 3 7 278 27 54
198 technical low No No Yes 4 6 287 10 91
199 technical low No No Yes 4 7 285 10 89
200 support low No No Yes 6 5 226 77 94
201 support low No No Yes 5 5 259 90 82
202 support low No No Yes 3 2 135 39 50
203 support low No No Yes 5 5 219 76 100
204 support low No No Yes 4 6 256 10 93
205 support low No No Yes 6 5 254 87 90
206 support low No No Yes 3 2 153 38 50
207 support low No No Yes 5 5 228 77 99
208 support low No No Yes 5 4 228 78 87
209 support low No No Yes 3 2 128 44 50
210 support low No No Yes 3 2 153 38 52
211 technical low No No Yes 3 2 156 43 46
212 technical low No No Yes 3 4 294 39 50
213 technical low No No Yes 5 5 219 88 100
214 management low No No Yes 3 2 153 45 46
215 IT low No No Yes 3 2 151 40 53
216 IT low No No Yes 3 2 155 36 51
217 IT low No No Yes 3 2 158 36 48
218 IT low No No Yes 5 5 245 90 98
219 IT low No No Yes 3 2 131 43 53
220 product_mng low No No Yes 5 5 225 89 87
221 product_mng low No No Yes 4 6 286 10 84
222 product_mng low No No Yes 3 2 135 37 50
223 product_mng low No No Yes 3 2 153 37 51
224 IT low No No Yes 5 5 252 87 90
225 accounting low No No Yes 3 2 149 40 56
226 accounting low No No Yes 5 4 258 90 97
227 hr low No No Yes 3 2 158 37 46
228 hr low No No Yes 3 2 149 44 54
229 hr low No No Yes 5 5 236 85 95
230 marketing low No No Yes 6 5 239 78 98
231 marketing low No No Yes 3 2 159 42 47
232 sales low No No Yes 6 5 255 92 99
233 accounting low No No Yes 4 6 244 11 83
234 support low No No Yes 3 2 134 42 56
235 technical low No No Yes 4 4 270 48 57
236 management low No No Yes 5 4 255 83 85
237 marketing low No No Yes 3 2 151 40 53
238 marketing low No No Yes 3 2 135 43 45
239 marketing low No No Yes 3 2 146 43 53
240 sales low No No Yes 4 7 254 10 97
241 sales low No No Yes 4 7 289 10 87
242 sales low No No Yes 3 2 156 37 46
243 sales low No No Yes 3 2 156 38 53
244 sales low No No Yes 3 2 128 40 50
245 sales low No No Yes 5 5 275 89 86
246 sales low No No Yes 3 2 155 45 46
247 sales low No No Yes 3 2 159 37 48
248 sales low No No Yes 3 2 148 46 49
249 sales low No No Yes 5 4 228 87 91
250 sales low No No Yes 4 6 298 11 84
251 sales low No No Yes 5 5 261 79 87
252 sales low No No Yes 6 5 254 79 92
253 sales low No No Yes 3 7 192 19 59
254 sales low No No Yes 5 4 248 87 98
255 sales low No No Yes 5 2 258 60 92
256 sales medium No No Yes 3 2 156 44 45
257 sales medium No Yes Yes 4 6 266 11 81
258 sales medium No No Yes 3 2 156 42 54
259 accounting medium No Yes Yes 5 5 232 88 88
260 accounting medium No No Yes 4 6 287 11 84
261 accounting medium No No Yes 3 2 154 46 46
262 hr medium No No Yes 5 5 263 82 97
263 hr medium No No Yes 3 2 131 44 56
264 hr medium No No Yes 4 6 260 11 78
265 hr medium No No Yes 3 2 139 42 50
266 technical medium No No Yes 5 4 251 84 93
267 technical medium No No Yes 4 6 286 11 95
268 technical high No No Yes 3 2 129 45 53
269 technical low No No Yes 3 2 156 38 56
270 technical medium No No Yes 6 6 139 38 86
271 technical medium No No Yes 3 2 127 44 51
272 technical medium No No Yes 4 6 251 11 84
273 technical medium No No Yes 5 5 270 81 93
274 technical low No No Yes 4 6 296 9 96
275 technical low No No Yes 4 6 254 11 90
276 technical low No No Yes 6 5 238 81 95
277 support low No Yes Yes 4 6 267 10 97
278 support low No No Yes 6 5 229 74 89
279 support low No No Yes 4 6 254 9 78
280 support low No Yes Yes 4 4 233 82 81
281 support low No No Yes 4 6 268 10 98
282 support low No No Yes 3 3 301 27 56
283 support low No No Yes 6 5 267 83 92
284 support low No Yes Yes 4 6 289 10 93
285 support low No No Yes 3 2 144 38 47
286 support low No No Yes 3 2 148 40 56
287 support low No No Yes 4 6 306 11 83
288 technical low Yes No Yes 4 6 292 11 79
289 technical low No No Yes 5 5 232 82 91
290 technical low No No Yes 3 2 137 36 48
291 management low No No Yes 3 2 128 40 46
292 IT low No No Yes 5 5 231 87 84
293 IT low No No Yes 3 2 146 41 49
294 IT low No Yes Yes 4 6 308 11 91
295 IT medium No No Yes 4 6 253 10 93
296 IT medium No No Yes 3 2 146 38 51
297 product_mng medium No No Yes 3 2 156 39 55
298 product_mng medium No No Yes 3 2 147 40 52
299 product_mng medium No No Yes 3 2 136 45 48
300 product_mng medium No No Yes 5 5 249 74 84
301 IT medium No No Yes 3 2 151 45 55
302 RandD medium No No Yes 4 3 278 12 100
303 RandD medium No No Yes 5 7 250 10 77
304 RandD medium No No Yes 3 2 127 37 55
305 RandD medium No No Yes 5 5 255 89 87
306 RandD medium No No Yes 3 2 135 45 47
307 marketing high No No Yes 3 2 149 37 46
308 sales low No No Yes 4 5 287 11 81
309 accounting medium No No Yes 3 2 145 41 48
310 support medium No No Yes 4 6 285 10 94
311 technical medium No No Yes 4 7 305 10 93
312 management medium No No Yes 4 7 300 11 95
313 marketing low No No Yes 3 2 139 40 54
314 marketing low No No Yes 3 2 130 41 49
315 marketing low No No Yes 4 6 268 10 81
316 sales low No No Yes 6 4 245 73 86
317 sales low No No Yes 3 2 135 43 47
318 sales low No No Yes 3 2 153 37 46
319 sales low No No Yes 4 6 276 11 94
320 sales low No No Yes 3 2 130 40 46
321 sales low No Yes Yes 3 2 153 41 54
322 sales low No No Yes 5 5 244 82 84
323 sales low No No Yes 3 2 253 61 47
324 sales low No No Yes 4 7 287 11 91
325 sales low No No Yes 3 2 131 37 45
326 sales low No No Yes 3 2 135 41 52
327 sales low No No Yes 3 2 157 37 52
328 sales low No No Yes 6 5 262 88 99
329 sales low No No Yes 4 6 266 10 85
330 sales low No No Yes 3 2 148 44 48
331 sales low No No Yes 3 2 140 38 57
332 sales low No No Yes 4 7 302 11 85
333 sales low No No Yes 4 6 271 9 98
334 sales medium No No Yes 3 2 145 45 52
335 accounting medium No No Yes 4 6 290 10 81
336 accounting medium No No Yes 3 2 151 45 47
337 accounting medium No No Yes 5 5 266 77 87
338 hr medium No No Yes 3 2 140 44 51
339 hr medium No No Yes 3 2 142 39 50
340 hr medium No No Yes 4 6 246 10 91
341 hr medium No No Yes 5 7 308 9 89
342 technical medium No No Yes 3 2 141 37 47
343 technical medium No No Yes 5 5 232 90 100
344 technical medium No No Yes 3 2 143 41 56
345 technical medium No No Yes 3 2 155 37 52
346 technical high No No Yes 4 6 278 10 86
347 technical low No No Yes 5 4 253 81 100
348 technical medium No No Yes 4 6 282 11 80
349 technical medium No No Yes 4 7 264 11 84
350 technical medium No No Yes 3 2 149 40 46
351 technical medium No No Yes 5 6 304 9 80
352 technical low No No Yes 6 3 219 48 93
353 support low No No Yes 6 4 262 91 91
354 support low No No Yes 3 2 135 43 57
355 support low No No Yes 5 6 219 33 88
356 support low No No Yes 3 2 136 41 57
357 support low No No Yes 3 2 154 41 55
358 support low No No Yes 3 2 149 37 54
359 support low No No Yes 5 6 135 31 62
360 support low No No Yes 4 6 275 9 91
361 support low No No Yes 4 6 290 10 87
362 support low No No Yes 5 4 263 76 90
363 support low No No Yes 3 2 145 41 54
364 technical low No No Yes 5 5 267 72 96
365 technical low No Yes Yes 3 2 141 40 50
366 technical low No No Yes 5 4 235 91 87
367 management low No No Yes 4 6 258 10 83
368 IT low No No Yes 3 2 131 40 56
369 IT low No No Yes 5 5 243 82 86
370 IT low No No Yes 4 6 266 10 82
371 IT low No No Yes 3 2 142 37 45
372 IT low No No Yes 3 2 135 36 51
373 product_mng medium No No Yes 3 2 141 39 48
374 product_mng medium No No Yes 3 2 142 36 57
375 product_mng medium No No Yes 5 5 254 86 84
376 product_mng medium No No Yes 5 5 262 73 99
377 IT medium No No Yes 2 4 296 56 71
378 accounting medium No No Yes 3 2 158 44 56
379 accounting medium No No Yes 2 4 238 31 56
380 hr medium No No Yes 5 4 231 77 93
381 hr medium No No Yes 3 2 156 44 45
382 hr medium No No Yes 3 2 145 38 46
383 marketing medium No No Yes 3 2 144 45 48
384 sales medium No No Yes 3 2 159 38 51
385 accounting high No No Yes 3 2 156 36 48
386 support low No No Yes 5 5 256 75 90
387 technical medium No No Yes 4 6 298 10 93
388 management medium No No Yes 4 6 247 10 97
389 marketing medium No No Yes 3 2 157 45 50
390 marketing medium No Yes Yes 3 2 154 42 57
391 marketing low No No Yes 5 4 253 78 100
392 sales low No No Yes 3 2 148 45 55
393 sales low No No Yes 5 4 261 84 100
394 sales low No No Yes 4 6 282 11 93
395 sales low No No Yes 3 2 133 42 56
396 sales low No No Yes 3 2 128 45 46
397 sales low No No Yes 3 2 139 46 57
398 sales low No No Yes 5 6 293 9 79
399 sales low No No Yes 6 4 265 87 83
400 sales low No No Yes 4 6 250 10 87
401 sales low No No Yes 6 5 251 91 100
402 sales low No No Yes 5 4 246 76 92
403 sales low No No Yes 5 5 275 74 100
404 sales low No No Yes 5 5 240 92 93
405 sales low No No Yes 5 5 245 76 87
406 sales low No No Yes 4 4 254 47 50
407 sales low No No Yes 5 5 241 73 99
408 sales low No No Yes 4 6 257 9 94
409 sales low No No Yes 5 4 246 91 92
410 sales low No No Yes 5 4 233 82 98
411 accounting low No No Yes 4 6 218 28 45
412 accounting medium No No Yes 6 4 262 84 99
413 accounting medium No No Yes 3 2 138 45 53
414 hr medium No No Yes 3 2 142 45 54
415 hr medium No No Yes 5 5 233 91 97
416 hr medium No No Yes 3 2 155 42 48
417 hr medium No No Yes 6 4 229 82 100
418 technical medium No No Yes 4 6 264 11 90
419 technical medium No No Yes 4 3 199 42 53
420 technical medium No No Yes 5 4 223 82 85
421 technical medium No No Yes 4 6 268 9 96
422 technical medium No No Yes 4 6 287 10 94
423 technical medium No No Yes 5 5 257 86 100
424 technical high No No Yes 3 2 143 40 46
425 technical low No No Yes 3 2 130 45 46
426 technical medium No No Yes 3 2 136 42 51
427 technical medium No No Yes 5 4 261 74 92
428 technical medium No No Yes 4 3 180 55 60
429 support medium No No Yes 3 2 126 37 45
430 support low No Yes Yes 3 2 127 41 52
431 support low No No Yes 6 5 195 89 65
432 support low No No Yes 3 2 160 41 57
433 support low No No Yes 3 2 150 44 51
434 support low No No Yes 6 4 264 87 84
435 support low No No Yes 4 6 309 10 84
436 support low No No Yes 3 2 135 41 47
437 support low No No Yes 4 6 261 11 85
438 support low No No Yes 3 2 160 43 53
439 support low No No Yes 5 4 237 77 90
440 technical low No No Yes 3 2 136 41 52
441 technical low No No Yes 3 2 139 41 48
442 technical low No No Yes 4 2 151 36 78
443 management low No No Yes 5 5 229 77 100
444 IT low No No Yes 5 5 245 81 98
445 IT low No No Yes 3 2 127 39 54
446 IT low No No Yes 5 6 283 9 94
447 IT low No No Yes 3 2 143 44 46
448 IT low No No Yes 4 5 298 10 84
449 product_mng low No No Yes 3 2 159 36 48
450 product_mng low No No Yes 5 5 239 81 92
451 product_mng medium No No Yes 5 4 226 81 90
452 product_mng medium No No Yes 5 5 248 85 98
453 IT medium No No Yes 4 6 286 10 87
454 RandD medium No No Yes 3 2 145 37 54
455 RandD medium No Yes Yes 4 7 254 9 97
456 RandD medium No No Yes 3 2 127 44 53
457 RandD medium No No Yes 5 5 223 86 93
458 RandD medium No No Yes 5 4 255 77 100
459 marketing medium No No Yes 3 2 136 41 48
460 sales medium No No Yes 3 2 137 40 48
461 accounting medium No No Yes 3 2 135 43 49
462 support medium No No Yes 3 2 137 43 50
463 technical high No No Yes 5 3 255 80 53
464 management low No No Yes 5 4 273 80 85
465 marketing medium No No Yes 5 5 234 82 98
466 marketing medium No No Yes 3 2 152 37 54
467 marketing medium No No Yes 3 2 134 37 48
468 sales medium No No Yes 4 6 292 9 95
469 sales low No No Yes 5 5 245 90 92
470 sales low No No Yes 3 2 159 41 52
471 sales low No No Yes 4 6 260 10 85
472 sales low No No Yes 3 2 149 44 53
473 sales low No No Yes 5 5 266 89 85
474 sales low No No Yes 3 2 149 42 56
475 sales low No No Yes 5 5 242 87 100
476 sales low No No Yes 3 2 134 45 57
477 sales low No No Yes 4 5 271 11 87
478 sales low No No Yes 4 6 275 9 79
479 sales low No No Yes 5 5 227 76 83
480 sales low No No Yes 5 7 277 11 96
481 sales low No No Yes 3 2 151 37 49
482 sales low No No Yes 4 6 274 10 79
483 sales low No No Yes 6 4 242 77 87
484 sales low No Yes Yes 3 2 143 42 54
485 sales low No No Yes 3 2 145 38 52
486 sales low No No Yes 2 5 172 32 95
487 accounting low No No Yes 3 2 135 38 49
488 accounting low No No Yes 4 4 192 19 100
489 accounting low No No Yes 4 7 276 10 83
490 hr medium No No Yes 4 4 206 76 88
491 hr medium No No Yes 6 4 281 53 56
492 hr medium No No Yes 3 2 151 39 51
493 hr medium No No Yes 4 6 244 11 83
494 technical medium No No Yes 4 6 309 10 94
495 technical medium No No Yes 5 5 218 84 100
496 technical medium No No Yes 6 4 263 82 99
497 technical medium No No Yes 4 6 244 10 82
498 technical medium No No Yes 4 7 263 59 49
499 technical medium No No Yes 3 2 143 44 48
500 technical medium No No Yes 5 2 181 89 95
501 technical medium No No Yes 5 5 265 91 84
502 technical high No No Yes 5 5 161 66 57
503 technical low No No Yes 5 7 282 11 87
504 technical medium No No Yes 3 2 155 43 51
505 support medium No No Yes 6 4 217 78 83
506 support medium No No Yes 5 6 289 11 97
507 support medium No No Yes 5 4 259 83 98
508 support low No No Yes 3 2 158 39 54
509 support low No No Yes 3 2 158 38 55
510 support low No No Yes 3 2 155 37 57
511 support low No No Yes 3 2 146 44 48
512 support low No No Yes 5 2 164 53 85
513 support low No No Yes 4 6 259 9 96
514 support low No No Yes 4 6 293 11 89
515 support low No No Yes 5 5 275 83 96
516 technical low No Yes Yes 6 5 219 88 100
517 technical low No No Yes 4 6 247 10 89
518 technical low No No Yes 4 7 309 9 86
519 management low No No Yes 3 2 151 44 54
520 IT low No No Yes 3 2 129 39 51
521 IT low No No Yes 5 4 274 87 94
522 IT low No No Yes 5 4 233 74 99
523 IT low No No Yes 4 7 289 10 95
524 IT low No No Yes 6 4 239 74 82
525 product_mng low No No Yes 5 5 221 75 99
526 product_mng low No No Yes 3 2 150 41 56
527 product_mng low No Yes Yes 3 2 144 41 45
528 product_mng low No No Yes 4 7 289 9 90
529 IT medium No No Yes 5 6 301 9 80
530 accounting medium No No Yes 3 2 145 39 57
531 accounting medium No No Yes 3 2 137 40 56
532 hr medium No Yes Yes 3 2 131 37 54
533 hr medium No No Yes 4 6 246 10 84
534 hr medium No No Yes 3 2 136 43 51
535 marketing medium No Yes Yes 6 5 240 75 85
536 sales medium No No Yes 3 2 156 37 56
537 accounting medium No No Yes 4 6 305 11 85
538 support medium No Yes Yes 3 2 154 45 45
539 technical medium No Yes Yes 5 5 261 87 100
540 management medium No No Yes 4 7 244 11 94
541 marketing high No No Yes 3 2 129 45 54
542 marketing low No No Yes 5 4 254 81 87
543 marketing medium No No Yes 5 5 236 77 91
544 sales medium No No Yes 5 5 237 89 92
545 sales medium No No Yes 3 2 135 43 49
546 sales medium No No Yes 5 5 236 78 100
547 sales low No No Yes 3 2 149 37 47
548 sales low No No Yes 3 2 141 37 50
549 sales low No No Yes 5 4 270 85 82
550 sales low No No Yes 3 2 138 41 47
551 sales low No No Yes 4 6 298 11 96
552 sales low No No Yes 5 5 254 75 99
553 sales low No No Yes 5 5 248 82 85
554 sales low No No Yes 6 5 257 79 100
555 sales low No No Yes 3 2 150 43 53
556 sales low No No Yes 4 7 281 10 90
557 sales low No Yes Yes 3 2 141 46 48
558 sales low No No Yes 3 2 157 43 57
559 sales low No No Yes 3 2 136 43 55
560 sales low No No Yes 4 7 296 11 80
561 sales low No No Yes 4 6 279 9 86
562 sales low No No Yes 3 2 131 37 53
563 accounting low No No Yes 3 2 160 40 57
564 accounting low No No Yes 4 7 291 10 77
565 accounting low No No Yes 3 2 157 41 53
566 hr low No No Yes 4 3 294 79 58
567 hr low No No Yes 4 7 310 11 79
568 hr medium No No Yes 4 6 282 10 97
569 hr medium No No Yes 3 2 134 44 51
570 technical medium No No Yes 4 4 214 25 46
571 technical medium No No Yes 3 2 137 44 52
572 technical medium No No Yes 5 4 252 73 100
573 technical medium No No Yes 6 5 243 75 97
574 technical medium No No Yes 3 2 148 36 47
575 technical medium No No Yes 3 2 151 37 49
576 technical medium No No Yes 3 2 129 39 49
577 technical medium No No Yes 2 2 198 48 78
578 technical medium No No Yes 6 4 275 57 72
579 technical medium No No Yes 5 5 243 90 96
580 technical high No No Yes 3 2 159 39 55
581 support low No No Yes 3 2 145 44 51
582 support medium No No Yes 5 5 242 81 88
583 support medium No No Yes 5 5 242 74 87
584 support medium No No Yes 3 2 145 44 56
585 support medium Yes No Yes 3 2 154 41 56
586 support low No No Yes 3 2 139 40 51
587 support low No No Yes 3 2 152 46 57
588 support low No No Yes 3 2 211 80 83
589 support low No No Yes 5 5 258 87 90
590 support low No No Yes 3 2 155 39 54
591 support low No No Yes 3 2 148 38 55
592 technical low No No Yes 3 2 255 66 67
593 technical low No No Yes 4 6 264 10 80
594 technical low No No Yes 3 2 132 37 54
595 management low No No Yes 4 6 255 10 77
596 IT low No No Yes 4 5 263 9 87
597 IT low No No Yes 5 5 222 86 84
598 IT low No No Yes 4 6 263 11 90
599 IT low No No Yes 3 2 157 37 46
600 IT low No No Yes 4 7 307 11 92
601 product_mng low No No Yes 6 5 259 77 98
602 product_mng low No No Yes 6 5 222 84 94
603 product_mng low No No Yes 4 7 250 10 84
604 product_mng low No No Yes 5 5 245 83 90
605 IT low No No Yes 4 6 292 11 79
606 RandD low No No Yes 5 5 252 86 92
607 RandD medium No No Yes 3 2 161 38 56
608 RandD medium No No Yes 4 5 250 11 88
609 RandD medium No No Yes 3 2 134 45 49
610 RandD medium No No Yes 4 7 279 10 85
611 marketing medium No No Yes 4 7 256 9 95
612 sales medium No No Yes 3 2 127 39 53
613 accounting medium No Yes Yes 3 2 138 37 47
614 support medium No No Yes 5 5 243 81 97
615 technical medium No No Yes 4 7 296 9 90
616 management medium No No Yes 4 7 267 10 88
617 marketing medium No No Yes 3 2 144 39 49
618 marketing medium No No Yes 5 4 251 83 95
619 marketing high No No Yes 3 2 148 45 57
620 sales low No No Yes 3 2 141 43 51
621 sales medium No No Yes 2 3 268 80 75
622 sales medium No No Yes 4 6 247 10 86
623 sales medium No No Yes 4 2 247 10 55
624 sales medium No No Yes 3 2 146 36 52
625 sales low No No Yes 3 2 140 38 50
626 sales low No No Yes 6 5 263 78 98
627 sales low No No Yes 3 2 145 44 49
628 sales low No Yes Yes 3 2 156 41 46
629 sales low No No Yes 6 5 244 72 85
630 sales low No No Yes 3 2 144 46 54
631 sales low No No Yes 4 7 286 10 90
632 sales low No No Yes 2 4 141 34 67
633 sales low No No Yes 5 6 260 11 89
634 sales low No No Yes 3 2 154 38 56
635 sales low No No Yes 5 5 225 82 92
636 sales low No No Yes 3 2 127 39 57
637 sales low No No Yes 3 2 140 44 53
638 sales low No No Yes 3 2 147 43 52
639 accounting low No No Yes 5 4 227 84 83
640 accounting low No No Yes 3 2 153 43 48
641 accounting low No No Yes 3 2 128 37 52
642 hr low No No Yes 5 4 228 74 97
643 hr low No No Yes 5 5 235 73 97
644 hr low No No Yes 3 2 148 37 47
645 hr low No No Yes 3 4 238 58 62
646 technical medium No No Yes 3 2 141 40 54
